cap-shape,cap-color,odor,gill-size,gill-color,stalk-color-above-ring,veil-color,ring-type,spore-print-color,population,habitat
convex,brown,pungent,narrow,black,white,white,pendant,black,scattered,urban
convex,yellow,almond,broad,black,white,white,pendant,brown,numerous,grasses
bell,white,anise,broad,brown,white,white,pendant,brown,numerous,meadows
convex,white,pungent,narrow,brown,white,white,pendant,black,scattered,urban
convex,gray,none,broad,black,white,white,evanescent,brown,abundant,grasses
convex,yellow,almond,broad,brown,white,white,pendant,black,numerous,grasses
bell,white,almond,broad,gray,white,white,pendant,black,numerous,meadows
bell,white,anise,broad,brown,white,white,pendant,brown,scattered,meadows
convex,white,pungent,narrow,pink,white,white,pendant,black,several,grasses
bell,yellow,almond,broad,gray,white,white,pendant,black,scattered,meadows
convex,yellow,anise,broad,gray,white,white,pendant,brown,numerous,grasses
convex,yellow,almond,broad,brown,white,white,pendant,black,scattered,meadows
bell,yellow,almond,broad,white,white,white,pendant,brown,scattered,grasses
convex,white,pungent,narrow,black,white,white,pendant,brown,several,urban
convex,brown,none,broad,brown,white,white,evanescent,black,abundant,grasses
sunken,gray,none,narrow,black,white,white,pendant,brown,solitary,urban
flat,white,none,broad,black,white,white,evanescent,brown,abundant,grasses
convex,brown,pungent,narrow,brown,white,white,pendant,black,scattered,grasses
convex,white,pungent,narrow,brown,white,white,pendant,brown,scattered,urban
convex,brown,pungent,narrow,black,white,white,pendant,brown,scattered,urban
bell,yellow,almond,broad,black,white,white,pendant,brown,scattered,meadows
convex,brown,pungent,narrow,brown,white,white,pendant,brown,several,grasses
bell,yellow,anise,broad,black,white,white,pendant,brown,scattered,meadows
bell,white,almond,broad,white,white,white,pendant,brown,numerous,meadows
bell,white,anise,broad,gray,white,white,pendant,black,scattered,meadows
flat,white,pungent,narrow,brown,white,white,pendant,brown,several,grasses
convex,yellow,almond,broad,brown,white,white,pendant,brown,numerous,meadows
convex,white,anise,broad,white,white,white,pendant,brown,numerous,meadows
flat,brown,none,narrow,black,white,white,pendant,black,solitary,urban
convex,yellow,almond,narrow,brown,white,white,pendant,brown,several,woods
bell,yellow,anise,broad,gray,white,white,pendant,brown,numerous,meadows
convex,white,pungent,narrow,black,white,white,pendant,brown,scattered,urban
convex,yellow,anise,broad,brown,white,white,pendant,brown,numerous,meadows
